date,team1,result,team2
2020-08-19 00:00:00,FaZe,0 - 2,Heroic
2020-08-19 00:00:00,MIBR,0 - 2,G2
2020-08-19 00:00:00,Natus Vincere,2 - 1,mousesports
2020-08-19 00:00:00,Complexity,2 - 0,MAD Lions
2020-08-19 00:00:00,FURIA,0 - 2,Chaos
2020-08-18 00:00:00,fnatic,0 - 2,Astralis
2020-08-18 00:00:00,Vitality,2 - 0,Heretics
2020-08-18 00:00:00,BIG,0 - 2,Sprout
2020-08-16 00:00:00,FURIA,2 - 1,Liquid
2020-08-16 00:00:00,Heroic,0 - 2,BIG
2020-08-15 00:00:00,BIG,2 - 1,OG
2020-08-15 00:00:00,Complexity,1 - 2,Heroic
2020-08-14 00:00:00,Liquid,2 - 0,TeamOne
2020-08-14 00:00:00,FURIA,2 - 0,Chaos
2020-08-12 00:00:00,FURIA,2 - 1,TeamOne
2020-08-12 00:00:00,Complexity,2 - 0,OG
